Project Name,Transacted Price ($),Area (SQFT),Unit Price ($ PSF),Sale Date,Street Name,Type of Sale,Type of Area,Area (SQM),Unit Price ($ PSM),Nett Price($),Property Type,Number of Units,Tenure,Postal District,Market Segment,Floor Level
PRESTIGE POINT,"1,120,000",742.72,"1,508",Jun-25,UPPER PAYA LEBAR ROAD,Resale,Strata,69,"16,232",-,Apartment,1,Freehold,19,Outside Central Region,01 to 05
VACANZA @ EAST,"1,650,000","1,033.34","1,597",Jun-25,LENGKONG TUJOH,Resale,Strata,96,"17,188",-,Condominium,1,Freehold,14,Outside Central Region,01 to 05
PARK COLONIAL,"2,300,000",979.52,"2,348",Jun-25,WOODLEIGH LANE,Resale,Strata,91,"25,275",-,Condominium,1,99 yrs lease commencing from 2017,13,Rest of Central Region,01 to 05
THE LANAI,"1,700,000","1,044.11","1,628",Jun-25,HILLVIEW AVENUE,Resale,Strata,97,"17,526",-,Condominium,1,999 yrs lease commencing from 1885,23,Outside Central Region,06 to 10
AMBER PARK,"2,630,000",947.23,"2,777",Jun-25,AMBER GARDENS,Resale,Strata,88,"29,886",-,Condominium,1,Freehold,15,Rest of Central Region,01 to 05
AFFINITY AT SERANGOON,"1,776,000",904.18,"1,964",Jun-25,SERANGOON NORTH AVENUE 1,Sub Sale,Strata,84,"21,143",-,Apartment,1,99 yrs lease commencing from 2018,19,Outside Central Region,06 to 10
SPRING @ LANGSAT,"1,775,000","1,140.98","1,556",Jun-25,LANGSAT ROAD,Resale,Strata,106,"16,745",-,Apartment,1,Freehold,15,Rest of Central Region,01 to 05
DRAYCOTT EIGHT,"5,800,000","2,863.22","2,026",Jun-25,DRAYCOTT PARK,Resale,Strata,266,"21,805",-,Condominium,1,99 yrs lease commencing from 1997,10,Core Central Region,06 to 10
THE ANSLEY,"2,100,000","1,097.93","1,913",Jun-25,MANDALAY ROAD,Resale,Strata,102,"20,588",-,Condominium,1,Freehold,11,Core Central Region,06 to 10
GRAMERCY PARK,"7,500,000","2,680.24","2,798",Jun-25,GRANGE ROAD,Resale,Strata,249,"30,120",-,Condominium,1,Freehold,10,Core Central Region,11 to 15
MIDWOOD,"1,330,000",688.9,"1,931",Jun-25,HILLVIEW RISE,Resale,Strata,64,"20,781",-,Condominium,1,99 yrs lease commencing from 2018,23,Outside Central Region,01 to 05
AVENUE SOUTH RESIDENCE,"2,380,000","1,108.69","2,147",Jun-25,SILAT AVENUE,Resale,Strata,103,"23,107",-,Apartment,1,99 yrs lease commencing from 2018,03,Rest of Central Region,01 to 05
AQUARIUS BY THE PARK,"1,790,000","1,323.97","1,352",Jun-25,BEDOK RESERVOIR VIEW,Resale,Strata,123,"14,553",-,Condominium,1,99 yrs lease commencing from 1996,16,Outside Central Region,06 to 10
